taille_genome nb_threads temps
100 1 0.000092
100 2 0.000122
100 4 0.000036
100 8 0.000078
100 16 0.000199
100 32 0.000367
1000 1 0.000021
1000 2 0.000266
1000 4 0.000109
1000 8 0.000100
1000 16 0.000191
1000 32 0.000434
10000 1 0.000190
10000 2 0.000399
10000 4 0.000126
10000 8 0.000090
10000 16 0.000166
10000 32 0.000295
100000 1 0.000895
100000 2 0.000847
100000 4 0.000303
100000 8 0.000465
100000 16 0.001752
100000 32 0.000522
1000000 1 0.008381
1000000 2 0.004782
1000000 4 0.003574
1000000 8 0.003862
1000000 16 0.003714
1000000 32 0.004020
10000000 1 0.078094
10000000 2 0.041151
10000000 4 0.025648
10000000 8 0.025144
10000000 16 0.025526
10000000 32 0.024178
100000000 1 0.801442
100000000 2 0.412876
100000000 4 0.284698
100000000 8 0.256300
100000000 16 0.237903
100000000 32 0.249512
1000000000 1 7.916996
1000000000 2 4.082749
1000000000 4 2.566544
1000000000 8 2.352362
1000000000 16 2.323519
1000000000 32 2.281516
